"Date","Type","Details","Amount (BDT)","Tag","Payment Method"
"2025-09-18","expense","Ciggarates to gher","200.00","c n t","cash"
"2025-09-18","expense","Tanz pocket money","300.00","tanzu pocket money","cash"
"2025-09-18","expense","Home food","320.00","family and gift","cash"
"2025-09-18","expense","Ammu test Dr","700.00","medicine n dr","cash"
"2025-09-16","expense","Facebook subs","1471.00","subscription","creditcard"
"2025-09-14","expense","youtube","499.00","subscription","creditcard"
"2025-09-11","expense","Kuakata bike oil","200.00","trip","n/a"
"2025-09-11","expense","Internet bill","1200.00","internet","n/a"
"2025-09-11","expense","Sutki","1100.00","trip","n/a"
"2025-09-11","expense","Trip Kuakata Uber","400.00","trip","n/a"
"2025-09-11","expense","Nasrul gift","1655.00","giveway","n/a"
"2025-09-11","expense","Food all","5000.00","trip","n/a"
"2025-09-11","expense","T n C","1000.00","trip","n/a"
"2025-09-11","expense","Trip Kuakata Bus dhaka","3272.00","trip","n/a"
"2025-09-11","expense","mobilr load","100.00","trip","n/a"
"2025-09-11","expense","Simanto loan","5000.00","loan","n/a"
"2025-09-11","expense","mobile load","29.00","phone bill","n/a"
"2025-09-11","expense","Rabby loan","2700.00","loan","n/a"
"2025-09-11","expense","Kuakata local trans","1000.00","trip","n/a"
"2025-09-11","expense","mobilr load","499.00","phone bill","n/a"
"2025-09-11","expense","Seat Vara","500.00","trip","n/a"
"2025-09-11","expense","Trip Kuakata ess food","400.00","trip","n/a"
"2025-09-11","expense","Phone bill","100.00","phone bill","n/a"
"2025-09-11","expense","Achar","1000.00","trip","n/a"
"2025-09-11","expense","Kuakata to bagerhat","2000.00","trip","n/a"
"2025-09-10","expense","Hotel Greaver in","18000.00","trip","n/a"
"2025-09-10","expense","Hotel Beach view","12000.00","trip","n/a"
"2025-09-09","expense","chatgpt","2500.00","subscription","creditcard"
"2025-09-08","expense","Tanzima","2000.00","tanzu pocket money","n/a"
"2025-09-06","expense","Gari","1800.00","family and gift","n/a"
"2025-09-06","expense","Phone bill","100.00","phone bill","n/a"
"2025-09-06","expense","T n C","1000.00","c n t","n/a"
"2025-09-06","expense","Phone bill tan","100.00","phone bill","n/a"
"2025-09-06","expense","Phone bill Ammu","419.00","phone bill","n/a"
"2025-09-06","expense","Transport","1000.00","transport","n/a"
"2025-09-06","expense","Ammu Uber","400.00","family and gift","n/a"
"2025-09-05","expense","Skincare Tanzima","2220.00","gadget","n/a"
"2025-09-04","expense","Rikhsa","40.00","transport","n/a"
"2025-09-04","expense","Gadget Tanzima","2960.00","gadget","n/a"
"2025-09-04","expense","Resturent","500.00","resturent","n/a"
"2025-09-04","expense","Rikhsa","50.00","transport","n/a"
"2025-09-03","expense","Food","200.00","resturent","n/a"
"2025-09-03","expense","Riksha","250.00","transport","n/a"
"2025-09-03","expense","Abbu","5000.00","home improvement","n/a"
"2025-09-03","expense","T n C","220.00","c n t","n/a"
"2025-09-02","expense","Riksha to loundry","70.00","transport","n/a"
"2025-09-02","expense","loundry bill","1500.00","family issential","n/a"
"2025-09-01","expense","Riksha to meradia","40.00","transport","n/a"
"2025-09-01","expense","Genaral store","400.00","resturent","n/a"
"2025-09-01","expense","Riksha to office","40.00","transport","n/a"
"2025-09-01","expense","Best buy shopping","4210.00","family and gift","n/a"
"2025-09-01","expense","Resturent to Office","20.00","transport","n/a"
"2025-09-01","expense","Riksha to resturent","20.00","transport","n/a"
"2025-09-01","expense","Riksha to best buy","30.00","transport","n/a"
"2025-08-31","expense","Harddisk","6000.00","gadget","n/a"
"2025-08-31","expense","Movie","800.00","pocket money","n/a"
"2025-08-31","expense","Cineplex - food","600.00","entertainment","n/a"
"2025-08-31","expense","Food","150.00","resturent","n/a"
"2025-08-31","expense","Bosundhora city transport","400.00","transport","n/a"
"2025-08-31","expense","Shopping","1300.00","personal shopping","n/a"
"2025-08-31","expense","Bosundhora city transport","400.00","transport","n/a"
"2025-08-26","expense","Abbu","1500.00","family and gift","n/a"
"2025-08-20","expense","Family giveway","240.00","family and gift","n/a"
"2025-08-20","expense","t nc","300.00","c n t","n/a"
"2025-08-20","expense","Riksha","10.00","transport","n/a"
"2025-08-20","expense","Abbuu Jomi","1200.00","family issential","n/a"
"2025-08-19","expense","t nc","225.00","c n t","n/a"
"2025-08-19","expense","Hijab","400.00","family and gift","n/a"
"2025-08-19","expense","Resturent bill vumi","1000.00","resturent","n/a"
"2025-08-19","expense","Bike oil","500.00","family and gift","n/a"
"2025-08-19","expense","juta","260.00","family and gift","n/a"
"2025-08-19","expense","Bani","1250.00","family and gift","n/a"
"2025-08-19","expense","Chiit","1300.00","family and gift","n/a"
"2025-08-19","expense","home snacks","500.00","home snacks","n/a"
"2025-08-19","expense","Kouta,box, cha etc","420.00","family issential","n/a"
"2025-08-19","expense","ammu sari","2500.00","family and gift","n/a"
"2025-08-18","expense","T n C","400.00","c n t","n/a"
"2025-08-18","expense","Medicine","70.00","medicine n dr","n/a"
"2025-08-18","expense","T n C","25.00","c n t","n/a"
"2025-08-17","expense","Home snacks food","400.00","home snacks","n/a"
"2025-08-17","expense","Sajib vai phone load","280.00","giveway","n/a"
"2025-08-17","expense","Tnc","200.00","c n t","n/a"
"2025-08-17","expense","Home snacks food","300.00","home snacks","n/a"
"2025-08-17","expense","Tanzima Phone load","100.00","phone bill","n/a"
"2025-08-16","expense","T n C","400.00","c n t","n/a"
"2025-08-15","expense","T n C","500.00","c n t","n/a"
"2025-08-15","expense","Home food","400.00","home snacks","n/a"
"2025-08-15","expense","Ammu","1000.00","giveway","n/a"
"2025-08-14","expense","Dholaipar rikhsa","30.00","transport","n/a"
"2025-08-14","expense","Computer Gadget","500.00","gadget","n/a"
"2025-08-14","expense","Rikhsha to afbab","40.00","transport","n/a"
"2025-08-14","expense","Dholaipar rikhsa","30.00","transport","n/a"
"2025-08-14","expense","Rikhsha to afbab","40.00","transport","n/a"
"2025-08-14","expense","Dhaka Bagerhat bus","1300.00","transport","n/a"
"2025-08-14","expense","T n C","50.00","c n t","n/a"
"2025-08-14","expense","Dholaipar rikhsa","40.00","transport","n/a"
"2025-08-14","expense","Kacchi Vai dinner","1000.00","resturent","n/a"
"2025-08-14","expense","Dhaka Bagerhat bus","1300.00","transport","n/a"
"2025-08-14","expense","CNG vara dholaipar","350.00","transport","n/a"
"2025-08-14","expense","Rikhsha to Meradia","40.00","transport","n/a"
"2025-08-14","expense","Bustand to basha","50.00","transport","n/a"
"2025-08-14","expense","Kacchi Vai dinner","1000.00","resturent","n/a"
"2025-08-14","expense","Bustand to basha","50.00","transport","n/a"
"2025-08-14","expense","Rikhsha to afbab","40.00","transport","n/a"
"2025-08-14","expense","Computer Gadget","500.00","gadget","n/a"
"2025-08-14","expense","Rikhsha to afbab","40.00","transport","n/a"
"2025-08-14","expense","Rikhsha to Meradia","40.00","transport","n/a"
"2025-08-14","expense","CNG vara dholaipar","350.00","transport","n/a"
